year,league_id,team_id,w,name
2012,NL,NYN,74,New York Mets
2012,AL,OAK,94,Oakland Athletics
2012,NL,PHI,81,Philadelphia Phillies
2012,NL,PIT,79,Pittsburgh Pirates
2012,NL,SDN,76,San Diego Padres
2012,AL,SEA,75,Seattle Mariners
2012,NL,SFN,94,San Francisco Giants
2012,NL,SLN,88,St. Louis Cardinals
2012,AL,TBA,90,Tampa Bay Rays
2012,AL,TEX,93,Texas Rangers
2012,AL,TOR,73,Toronto Blue Jays
2012,NL,WAS,98,Washington Nationals
2013,NL,ARI,81,Arizona Diamondbacks
2013,NL,ATL,96,Atlanta Braves
2013,AL,BAL,85,Baltimore Orioles
2013,AL,BOS,97,Boston Red Sox
2013,AL,CHA,63,Chicago White Sox
2013,NL,CHN,66,Chicago Cubs
2013,NL,CIN,90,Cincinnati Reds
2013,AL,CLE,92,Cleveland Indians
2013,NL,COL,74,Colorado Rockies
2013,AL,DET,93,Detroit Tigers
2013,AL,HOU,51,Houston Astros
2013,AL,KCA,86,Kansas City Royals
2013,AL,LAA,78,Los Angeles Angels of Anaheim
2013,NL,LAN,92,Los Angeles Dodgers
2013,NL,MIA,62,Miami Marlins
2013,NL,MIL,74,Milwaukee Brewers
2013,AL,MIN,66,Minnesota Twins
2013,AL,NYA,85,New York Yankees
2013,NL,NYN,74,New York Mets
2013,AL,OAK,96,Oakland Athletics
2013,NL,PHI,73,Philadelphia Phillies
2013,NL,PIT,94,Pittsburgh Pirates
2013,NL,SDN,76,San Diego Padres
2013,AL,SEA,71,Seattle Mariners
2013,NL,SFN,76,San Francisco Giants
2013,NL,SLN,97,St. Louis Cardinals
2013,AL,TBA,92,Tampa Bay Rays
2013,AL,TEX,91,Texas Rangers
2013,AL,TOR,74,Toronto Blue Jays
2013,NL,WAS,86,Washington Nationals
2014,NL,ARI,64,Arizona Diamondbacks
2014,NL,ATL,79,Atlanta Braves
2014,AL,BAL,96,Baltimore Orioles
2014,AL,BOS,71,Boston Red Sox
2014,AL,CHA,73,Chicago White Sox
2014,NL,CHN,73,Chicago Cubs
2014,NL,CIN,76,Cincinnati Reds
2014,AL,CLE,85,Cleveland Indians
2014,NL,COL,66,Colorado Rockies
2014,AL,DET,90,Detroit Tigers
2014,AL,HOU,70,Houston Astros
2014,AL,KCA,89,Kansas City Royals
2014,AL,LAA,98,Los Angeles Angels of Anaheim
2014,NL,LAN,94,Los Angeles Dodgers
2014,NL,MIA,77,Miami Marlins
2014,NL,MIL,82,Milwaukee Brewers
2014,AL,MIN,70,Minnesota Twins
2014,AL,NYA,84,New York Yankees
2014,NL,NYN,79,New York Mets
2014,AL,OAK,88,Oakland Athletics
2014,NL,PHI,73,Philadelphia Phillies
2014,NL,PIT,88,Pittsburgh Pirates
2014,NL,SDN,77,San Diego Padres
2014,AL,SEA,87,Seattle Mariners
2014,NL,SFN,88,San Francisco Giants
2014,NL,SLN,90,St. Louis Cardinals
2014,AL,TBA,77,Tampa Bay Rays
2014,AL,TEX,67,Texas Rangers
2014,AL,TOR,83,Toronto Blue Jays
2014,NL,WAS,96,Washington Nationals
2015,AL,KCA,95,Kansas City Royals
2015,AL,MIN,83,Minnesota Twins
2015,AL,CLE,81,Cleveland Indians
2015,AL,CHA,76,Chicago White Sox
2015,AL,DET,74,Detroit Tigers
2015,AL,TOR,93,Toronto Blue Jays
2015,AL,NYA,87,New York Yankees
2015,AL,BAL,81,Baltimore Orioles
2015,AL,TBA,80,Tampa Bay Rays
2015,AL,BOS,78,Boston Red Sox
2015,AL,TEX,88,Texas Rangers
2015,AL,HOU,86,Houston Astros
2015,AL,LAA,85,Los Angeles Angels of Anaheim
2015,AL,SEA,76,Seattle Mariners
2015,AL,OAK,68,Oakland Athletics
2015,NL,SLN,100,St. Louis Cardinals
2015,NL,PIT,98,Pittsburgh Pirates
2015,NL,CHN,97,Chicago Cubs
2015,NL,MIL,68,Milwaukee Brewers
2015,NL,CIN,64,Cincinnati Reds
2015,NL,NYN,90,New York Mets
2015,NL,WAS,83,Washington Nationals
2015,NL,MIA,71,Miami Marlins
2015,NL,ATL,67,Atlanta Braves
2015,NL,PHI,63,Philadelphia Phillies
2015,NL,LAN,92,Los Angeles Dodgers
2015,NL,SFN,84,San Francisco Giants
2015,NL,ARI,79,Arizona Diamondbacks
2015,NL,SDN,74,San Diego Padres
2015,NL,COL,68,Colorado Rockies
