player_id,year,stint,team_id,league_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,obp,slg,ops
martica02,1990,1,CHA,AL,92,272,18,61,6,5,4,24,0,4,10,40,2,0,1,0,8,0.252,0.327,0.579
martida01,1990,1,MON,NL,118,391,60,109,13,5,11,39,13,11,24,48,2,1,3,2,8,0.321,0.422,0.743
martied01,1990,1,SEA,AL,144,487,71,147,27,2,11,49,1,4,74,62,3,5,1,3,13,0.397,0.433,0.83
mattido01,1990,1,NYA,AL,102,394,40,101,16,0,5,42,1,0,28,20,13,3,0,3,13,0.308,0.335,0.643
mcdowod01,1990,1,ATL,NL,113,305,47,74,14,0,7,25,13,2,21,53,0,2,0,1,3,0.295,0.357,0.652
mcgeewi01,1990,1,SLN,NL,125,501,76,168,32,5,3,62,28,9,38,86,6,1,0,2,9,0.382,0.437,0.819
mcgrifr01,1990,1,TOR,AL,153,557,91,167,21,1,35,88,5,3,94,108,12,2,1,4,7,0.4,0.53,0.93
mcgwima01,1990,1,OAK,AL,156,523,87,123,16,0,39,108,2,1,110,116,9,7,1,9,13,0.37,0.489,0.859
mcreyke01,1990,1,NYN,NL,147,521,75,140,23,1,24,82,9,2,71,61,11,1,0,8,8,0.353,0.455,0.808
melvibo01,1990,1,BAL,AL,93,301,30,73,14,1,5,37,0,1,11,53,1,0,3,3,8,0.267,0.346,0.612
milleke01,1990,1,NYN,NL,88,233,42,60,8,0,1,12,16,3,23,46,1,2,2,2,2,0.327,0.305,0.632
millira01,1990,1,BAL,AL,109,362,64,96,20,1,20,60,6,3,88,68,3,2,0,4,11,0.408,0.492,0.9
mitchke01,1990,1,SFN,NL,140,524,90,152,24,2,35,93,4,7,58,87,9,2,0,5,8,0.36,0.544,0.904
molitpa01,1990,1,ML4,AL,103,418,64,119,27,6,12,45,18,3,37,51,4,1,0,2,7,0.343,0.464,0.807
morriha02,1990,1,CIN,NL,107,309,50,105,22,3,7,36,9,3,21,32,4,1,3,2,12,0.381,0.498,0.88
mosebll01,1990,1,DET,AL,122,431,64,107,16,5,14,51,17,5,48,77,3,5,1,2,14,0.329,0.406,0.735
murphda05,1990,1,ATL,NL,97,349,38,81,14,0,17,55,9,2,41,84,11,1,0,3,11,0.312,0.418,0.731
