manager_id,year,team_id
trebeto99,1994,CHN
johnsda02,1994,CIN
baylodo01,1994,COL
lachere01,1994,FLO
collite99,1994,HOU
lasorto01,1994,LAN
aloufe01,1994,MON
greenda02,1994,NYN
fregoji01,1994,PHI
leylaji99,1994,PIT
rigglji99,1994,SDN
bakerdu01,1994,SFN
torrejo01,1994,SLN
reganph01,1995,BAL
kenneke99,1995,BOS
lachema01,1995,CAL
lamonge01,1995,CHA
bevinte99,1995,CHA
hargrmi01,1995,CLE
andersp01,1995,DET
boonebo01,1995,KCA
kellyto01,1995,MIN
garneph01,1995,ML4
showabu99,1995,NYA
larusto01,1995,OAK
pinielo01,1995,SEA
oatesjo01,1995,TEX
gastoci01,1995,TOR
coxbo01,1995,ATL
rigglji99,1995,CHN
johnsda02,1995,CIN
baylodo01,1995,COL
lachere01,1995,FLO
collite99,1995,HOU
lasorto01,1995,LAN
aloufe01,1995,MON
greenda02,1995,NYN
fregoji01,1995,PHI
leylaji99,1995,PIT
bochybr01,1995,SDN
bakerdu01,1995,SFN
torrejo01,1995,SLN
jorgemi01,1995,SLN
johnsda02,1996,BAL
kenneke99,1996,BOS
lachema01,1996,CAL
mcnamjo99,1996,CAL
maddojo99,1996,CAL
bevinte99,1996,CHA
hargrmi01,1996,CLE
bellbu01,1996,DET
boonebo01,1996,KCA
kellyto01,1996,MIN
garneph01,1996,ML4
torrejo01,1996,NYA
howear01,1996,OAK
pinielo01,1996,SEA
oatesjo01,1996,TEX
gastoci01,1996,TOR
coxbo01,1996,ATL
rigglji99,1996,CHN
knighra01,1996,CIN
baylodo01,1996,COL
lachere01,1996,FLO
rojasco01,1996,FLO
bolesjo99,1996,FLO
collite99,1996,HOU
lasorto01,1996,LAN
russebi01,1996,LAN
aloufe01,1996,MON
greenda02,1996,NYN
valenbo02,1996,NYN
fregoji01,1996,PHI
leylaji99,1996,PIT
bochybr01,1996,SDN
bakerdu01,1996,SFN
larusto01,1996,SLN
collite99,1997,ANA
johnsda02,1997,BAL
williji03,1997,BOS
bevinte99,1997,CHA
hargrmi01,1997,CLE
bellbu01,1997,DET
boonebo01,1997,KCA
muserto01,1997,KCA
kellyto01,1997,MIN
garneph01,1997,ML4
torrejo01,1997,NYA
howear01,1997,OAK
pinielo01,1997,SEA
oatesjo01,1997,TEX
gastoci01,1997,TOR
queenme02,1997,TOR
coxbo01,1997,ATL
rigglji99,1997,CHN
knighra01,1997,CIN
mckeoja99,1997,CIN
baylodo01,1997,COL
leylaji99,1997,FLO
dierkla01,1997,HOU
russebi01,1997,LAN
aloufe01,1997,MON
valenbo02,1997,NYN
francte01,1997,PHI
lamonge01,1997,PIT
bochybr01,1997,SDN
bakerdu01,1997,SFN
larusto01,1997,SLN
collite99,1998,ANA
millera99,1998,BAL
williji03,1998,BOS
manueje01,1998,CHA
hargrmi01,1998,CLE
bellbu01,1998,DET
parrila01,1998,DET
muserto01,1998,KCA
kellyto01,1998,MIN
torrejo01,1998,NYA
howear01,1998,OAK
pinielo01,1998,SEA
rothsla01,1998,TBA
oatesjo01,1998,TEX
johnsti01,1998,TOR
showabu99,1998,ARI
coxbo01,1998,ATL
rigglji99,1998,CHN
mckeoja99,1998,CIN
baylodo01,1998,COL
leylaji99,1998,FLO
dierkla01,1998,HOU
russebi01,1998,LAN
hoffmgl01,1998,LAN
garneph01,1998,MIL
aloufe01,1998,MON
valenbo02,1998,NYN
francte01,1998,PHI
lamonge01,1998,PIT
bochybr01,1998,SDN
bakerdu01,1998,SFN
larusto01,1998,SLN
collite99,1999,ANA
maddojo99,1999,ANA
millera99,1999,BAL
williji03,1999,BOS
manueje01,1999,CHA
